Programa,N,Hilos,n,media_us,sd_us,min_us,max_us
mmClasicaFork,100,1,30,1865.033,843.200,1260.000,4660.000
mmClasicaFork,100,2,30,1174.633,701.866,798.000,3866.000
mmClasicaFork,100,4,30,1428.400,539.978,951.000,3315.000
mmClasicaFork,1000,1,30,1693188.267,126239.537,1290386.000,2011877.000
mmClasicaFork,1000,2,30,837431.167,11305.326,823918.000,877946.000
mmClasicaFork,1000,4,14,745123.357,132813.537,429002.000,876452.000
mmClasicaFork,500,1,30,192062.367,7221.468,184062.000,225496.000
mmClasicaFork,500,2,30,99779.000,3845.608,92967.000,111910.000
mmClasicaFork,500,4,30,78630.900,8845.192,64648.000,102863.000
mmClasicaOpenMP,100,1,30,1211.967,448.191,967.000,3116.000
mmClasicaOpenMP,100,2,30,917.767,435.754,530.000,2303.000
mmClasicaOpenMP,100,4,30,945.967,1161.796,353.000,4567.000
mmClasicaOpenMP,1000,1,30,1536915.933,172880.248,1283277.000,1714772.000
mmClasicaOpenMP,1000,2,30,835450.367,29438.209,814036.000,925375.000
mmClasicaOpenMP,1000,4,30,459128.133,73248.781,412475.000,633949.000
mmClasicaOpenMP,500,1,30,187476.733,7230.555,182449.000,210822.000
mmClasicaOpenMP,500,2,30,97717.733,3250.766,91875.000,107570.000
mmClasicaOpenMP,500,4,30,51885.300,3090.351,46507.000,58487.000
mmClasicaPosix,100,1,30,1649.967,561.804,1227.000,3421.000
mmClasicaPosix,100,2,30,1334.600,558.272,799.000,3370.000
mmClasicaPosix,100,4,30,819.033,287.526,530.000,1583.000
mmClasicaPosix,1000,1,30,1665467.800,12925.339,1638767.000,1688105.000
mmClasicaPosix,1000,2,30,836736.967,20887.365,817464.000,934994.000
mmClasicaPosix,1000,4,30,421218.833,6109.840,413256.000,434342.000
mmClasicaPosix,500,1,30,186257.000,13629.666,145628.000,198866.000
mmClasicaPosix,500,2,30,99605.767,2988.653,94377.000,106107.000
mmClasicaPosix,500,4,30,52196.933,2596.391,47122.000,57717.000
mmClasicaSerie,100,1,30,1190.967,376.211,757.000,2486.000
mmClasicaSerie,100,2,30,1088.300,413.647,732.000,2429.000
mmClasicaSerie,100,4,30,1108.667,280.388,963.000,2172.000
mmClasicaSerie,1000,1,30,1513529.333,187821.096,1284307.000,1802648.000
mmClasicaSerie,1000,2,30,1580854.433,195815.167,1281945.000,1958037.000
mmClasicaSerie,1000,4,30,1617377.400,145990.133,1308871.000,1730972.000
mmClasicaSerie,500,1,30,188509.000,12557.803,142439.000,212580.000
mmClasicaSerie,500,2,24,193850.875,12976.974,183500.000,219553.000
mmClasicaSerie,500,4,30,185029.500,1635.608,183334.000,191627.000
mmFilasOpenMP,100,1,30,1439.533,772.325,915.000,3392.000
mmFilasOpenMP,100,2,30,911.867,423.813,546.000,2311.000
mmFilasOpenMP,100,4,30,1350.700,1976.302,360.000,9865.000
mmFilasOpenMP,1000,1,30,1501730.733,34935.148,1487047.000,1686258.000
mmFilasOpenMP,1000,2,30,753058.167,5161.896,744976.000,769704.000
mmFilasOpenMP,1000,4,30,382908.100,5648.281,377333.000,402129.000
mmFilasOpenMP,500,1,30,177419.433,4265.892,172593.000,191457.000
mmFilasOpenMP,500,2,30,92354.500,2884.546,87700.000,96680.000
mmFilasOpenMP,500,4,30,49217.267,4944.214,44259.000,67980.000
